Ulangan 1,Ulangan 2,Ulangan 3,Ulangan 4,Ulangan 5,Species
423,439,440,445,426,HA5S
894,961,959,893,958,HA5S
1027,1022,1025,1024,1024,HA5S
1100,1100,1100,1100,1100,HA5S
1149,1147,1148,1148,1147,HA5S
1240,1240,1241,1240,1241,HA5S
1327,1326,1326,1327,1327,HA5S
1373,1373,1372,1369,1372,HA5S
1417,1411,1414,1420,1414,HA5S
1633,1632,1637,1627,1631,HA5S
1728,1733,1732,1736,1736,HA5S
2345,2346,2346,2346,2347,HA5S
2921,2851,3314,2853,2852,HA5S
3292,2919,3728,2920,2919,HA5S
423,894,485,423,422,HA8T
894,1025,958,962,895,HA8T
1027,1100,1021,1026,1029,HA8T
1100,1147,1099,1100,1100,HA8T
1148,1240,1145,1147,1148,HA8T
1240,1324,1240,1240,1242,HA8T
1324,1371,1324,1325,1326,HA8T
1371,1420,1371,1371,1370,HA8T
1417,1541,1420,1420,1420,HA8T
1481,1625,1479,1479,1636,HA8T
1632,1735,1631,1636,1735,HA8T
1735,2348,1735,1735,2390,HA8T
1981,2922,2165,2390,2852,HA8T
2165,3333,2348,2852,2921,HA8T
2359,3745,2851,2919,3317,HA8T
892,408,412,441,435,HA18T
964,904,901,918,890,HA18T
1027,1022,1028,961,961,HA18T
1100,1099,1096,1018,1023,HA18T
1149,1157,1155,1092,1100,HA18T
1241,1242,1250,1155,1147,HA18T
1326,1335,1328,1191,1241,HA18T
1373,1371,1367,1235,1325,HA18T
1420,1425,1413,1291,1371,HA18T
1627,1628,1605,1325,1420,HA18T
1728,1735,1740,1371,1491,HA18T
2165,2362,2165,1418,1634,HA18T
2345,2926,2366,1485,1735,HA18T
2391,3390,2859,1632,2166,HA18T
2925,3750,2919,1740,2360,HA18T
3296,3855,3745,2158,2854,HA18T
425,427,423,896,432,HA39T
893,894,892,1031,896,HA39T
960,1024,962,1103,1031,HA39T
1022,1099,1025,1155,1103,HA39T
1052,1147,1099,1243,1155,HA39T
1099,1241,1147,1322,1243,HA39T
1147,1324,1239,1323,1323,HA39T
1240,1371,1323,1371,1371,HA39T
1324,1417,1371,1420,1420,HA39T
1371,1482,1417,1456,1459,HA39T
1417,1543,1482,1506,1506,HA39T
1509,1631,1541,1543,1539,HA39T
1629,1735,1631,1636,1560,HA39T
1735,2165,1735,1733,1646,HA39T
2348,2343,2348,2167,1733,HA39T
2853,2923,2853,2348,2167,HA39T
2920,3297,2920,2922,2348,HA39T
3297,3674,3334,3334,2922,HA39T
3744,3750,3744,3753,3334,HA39T